Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1174       0.0000       0.1174   908.1
0.0250           0.1161       0.0498       0.0663   512.8
0.0500           0.1170       0.0656       0.0514   397.5
0.0750           0.1172       0.0528       0.0644   498.5
0.1000           0.1179       0.0742       0.0436   337.6
0.1250           0.1187       0.0761       0.0425   329.2
0.1500           0.1204       0.0638       0.0566   437.7
0.1750           0.1227       0.0668       0.0558   432.0
0.2000           0.1234       0.0581       0.0653   505.2
0.2250           0.1234       0.0537       0.0697   538.9
0.2500           0.1243       0.0643       0.0600   464.2
0.2750           0.1248       0.0647       0.0601   464.7
0.3000           0.1258       0.0664       0.0593   458.9
0.3250           0.1260       0.0693       0.0567   438.9
0.3500           0.1271       0.0656       0.0615   475.8
0.3750           0.1270       0.0625       0.0645   499.2
0.4000           0.1265       0.0636       0.0629   486.6
0.4250           0.1279       0.0606       0.0673   520.5
0.4500           0.1288       0.0569       0.0720   556.7
0.4750           0.1289       0.0650       0.0639   494.4
0.5000           0.1289       0.0618       0.0671   519.2
0.5250           0.1289       0.0621       0.0667   516.3
0.5500           0.1291       0.0680       0.0611   472.5
0.5750           0.1283       0.0635       0.0648   501.6
0.6000           0.1277       0.0631       0.0646   499.6
0.6250           0.1279       0.0696       0.0583   451.3
0.6500           0.1279       0.0633       0.0645   499.2
0.6750           0.1287       0.0639       0.0648   501.3
0.7000           0.1284       0.0665       0.0619   478.7
0.7250           0.1289       0.0651       0.0638   493.6
0.7500           0.1292       0.0655       0.0638   493.2
0.7750           0.1305       0.0644       0.0661   511.1
0.8000           0.1316       0.0625       0.0691   534.7
0.8250           0.1320       0.0657       0.0663   512.9
0.8500           0.1326       0.0678       0.0648   501.2
0.8750           0.1332       0.0668       0.0665   514.2
0.9000           0.1337       0.0652       0.0685   529.9
0.9250           0.1325       0.0666       0.0659   509.6
0.9500           0.1325       0.0661       0.0665   514.1
0.9750           0.1325       0.0655       0.0671   518.8
1.0000           0.1324       0.0674       0.0649   502.3
1.0250           0.1334       0.0677       0.0658   508.8
1.0500           0.1325       0.0662       0.0662   512.5
