Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1644       0.0839       0.0805   622.9
0.0500           0.1644       0.0842       0.0802   620.1
0.1000           0.1644       0.0817       0.0827   639.5
0.1500           0.1644       0.0868       0.0776   600.1
0.2000           0.1644       0.0816       0.0828   640.2
0.2500           0.1644       0.0839       0.0805   623.0
0.3000           0.1644       0.0853       0.0791   611.9
0.3500           0.1644       0.0837       0.0806   623.9
0.4000           0.1644       0.0831       0.0813   629.2
0.4500           0.1644       0.0843       0.0800   619.3
0.5000           0.1644       0.0842       0.0801   620.0
0.5500           0.1644       0.0772       0.0871   674.2
0.6000           0.1644       0.0835       0.0809   626.1
0.6500           0.1644       0.0837       0.0807   624.0
0.7000           0.1644       0.0802       0.0841   651.0
0.7500           0.1644       0.0872       0.0772   597.2
0.8000           0.1644       0.0800       0.0844   652.7
0.8500           0.1644       0.0833       0.0811   627.5
0.9000           0.1644       0.0844       0.0800   618.7
0.9500           0.1644       0.0857       0.0786   608.4
1.0000           0.1644       0.0800       0.0844   652.6
1.0500           0.1644       0.0849       0.0795   615.2
1.1000           0.1644       0.0777       0.0867   670.7
1.1500           0.1644       0.0817       0.0827   639.7
1.2000           0.1644       0.0854       0.0790   611.4
1.2500           0.1644       0.0839       0.0805   622.6
1.3000           0.1644       0.0827       0.0816   631.6
1.3500           0.1644       0.0799       0.0845   653.5
1.4000           0.1644       0.0839       0.0805   622.5
1.4500           0.1644       0.0864       0.0780   603.6
1.5000           0.1644       0.0829       0.0815   630.3
1.5500           0.1644       0.0774       0.0869   672.6
1.6000           0.1644       0.0831       0.0812   628.6
1.6500           0.1644       0.0836       0.0807   624.6
1.7000           0.1644       0.0868       0.0776   600.1
1.7500           0.1644       0.0810       0.0834   645.1
1.8000           0.1644       0.0784       0.0860   665.6
1.8500           0.1644       0.0855       0.0789   610.3
1.9000           0.1644       0.0843       0.0801   620.0
1.9500           0.1644       0.0830       0.0814   629.4
2.0000           0.1644       0.0822       0.0822   635.8
2.0500           0.1644       0.0816       0.0828   640.6
2.1000           0.1644       0.0835       0.0809   625.5
2.1500           0.1644       0.0829       0.0815   630.4
2.2000           0.1644       0.0806       0.0837   647.9
2.2500           0.1644       0.0855       0.0789   610.1
2.3000           0.1644       0.0817       0.0827   639.7
2.3500           0.1644       0.0826       0.0818   632.6
2.4000           0.1644       0.0798       0.0846   654.1
2.4500           0.1644       0.0839       0.0805   622.5
2.5000           0.1644       0.0796       0.0848   655.9
2.5500           0.1644       0.0863       0.0781   604.4
2.6000           0.1644       0.0863       0.0781   604.3
2.6500           0.1644       0.0831       0.0813   628.9
2.7000           0.1644       0.0814       0.0830   642.2
2.7500           0.1644       0.0818       0.0826   639.0
2.8000           0.1644       0.0831       0.0812   628.5
2.8500           0.1644       0.0838       0.0805   623.2
2.9000           0.1644       0.0817       0.0827   639.5
2.9500           0.1644       0.0789       0.0855   661.3
3.0000           0.1644       0.0824       0.0820   634.4
3.0500           0.1644       0.0852       0.0792   612.4
3.1000           0.1644       0.0833       0.0811   627.5
3.1500           0.1644       0.0797       0.0847   655.4
3.2000           0.1644       0.0838       0.0806   623.8
3.2500           0.1644       0.0824       0.0820   634.0
3.3000           0.1644       0.0794       0.0850   657.2
3.3500           0.1644       0.0844       0.0800   618.6
3.4000           0.1644       0.0832       0.0811   627.7
3.4500           0.1644       0.0833       0.0811   627.5
3.5000           0.1644       0.0789       0.0855   661.6
3.5500           0.1644       0.0830       0.0814   630.0
3.6000           0.1644       0.0835       0.0809   626.1
3.6500           0.1644       0.0847       0.0797   616.6
3.7000           0.1644       0.0790       0.0854   660.7
3.7500           0.1644       0.0852       0.0792   612.8
3.8000           0.1644       0.0837       0.0807   624.2
3.8500           0.1644       0.0792       0.0852   659.2
3.9000           0.1644       0.0830       0.0813   629.3
3.9500           0.1644       0.0835       0.0809   625.9
4.0000           0.1644       0.0812       0.0832   643.3
4.0500           0.1644       0.0800       0.0844   652.9
4.1000           0.1644       0.0851       0.0793   613.5
4.1500           0.1644       0.0832       0.0812   628.3
4.2000           0.1644       0.0832       0.0812   628.4
4.2500           0.1644       0.0809       0.0835   645.6
4.3000           0.1644       0.0834       0.0810   626.3
4.3500           0.1644       0.0809       0.0835   645.6
4.4000           0.1644       0.0807       0.0837   647.5
4.4500           0.1644       0.0834       0.0810   626.9
4.5000           0.1644       0.0851       0.0793   613.4
4.5500           0.1644       0.0850       0.0794   613.9
4.6000           0.1644       0.0774       0.0870   673.1
4.6500           0.1644       0.0784       0.0860   665.3
4.7000           0.1644       0.0863       0.0781   604.3
4.7500           0.1644       0.0854       0.0790   611.0
4.8000           0.1644       0.0801       0.0843   652.1
4.8500           0.1644       0.0789       0.0855   661.5
4.9000           0.1644       0.0850       0.0794   614.5
4.9500           0.1644       0.0839       0.0805   622.5
5.0000           0.1644       0.0780       0.0864   668.2
