Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1277       0.0659       0.0618   478.4
0.0500           0.1277       0.0668       0.0609   471.3
0.1000           0.1277       0.0585       0.0692   535.7
0.1500           0.1277       0.0628       0.0649   502.3
0.2000           0.1277       0.0686       0.0591   457.6
0.2500           0.1277       0.0635       0.0642   496.7
0.3000           0.1277       0.0623       0.0654   506.0
0.3500           0.1277       0.0647       0.0630   487.4
0.4000           0.1277       0.0663       0.0614   474.9
0.4500           0.1277       0.0624       0.0653   505.2
0.5000           0.1277       0.0631       0.0646   499.9
0.5500           0.1277       0.0650       0.0628   485.5
0.6000           0.1277       0.0627       0.0650   503.1
0.6500           0.1277       0.0647       0.0630   487.4
0.7000           0.1277       0.0640       0.0638   493.3
0.7500           0.1277       0.0625       0.0652   504.4
0.8000           0.1277       0.0619       0.0659   509.7
0.8500           0.1277       0.0641       0.0636   492.1
0.9000           0.1277       0.0633       0.0644   498.4
0.9500           0.1277       0.0656       0.0621   480.7
1.0000           0.1277       0.0631       0.0646   500.1
1.0500           0.1277       0.0636       0.0641   495.9
1.1000           0.1277       0.0643       0.0634   490.4
1.1500           0.1277       0.0648       0.0629   486.8
1.2000           0.1277       0.0637       0.0640   495.5
1.2500           0.1277       0.0659       0.0618   478.3
1.3000           0.1277       0.0653       0.0624   482.9
1.3500           0.1277       0.0630       0.0648   501.1
1.4000           0.1277       0.0634       0.0643   497.7
1.4500           0.1277       0.0621       0.0657   508.1
1.5000           0.1277       0.0638       0.0640   495.0
1.5500           0.1277       0.0647       0.0630   487.7
1.6000           0.1277       0.0637       0.0640   495.5
1.6500           0.1277       0.0669       0.0609   470.9
1.7000           0.1277       0.0626       0.0651   503.6
1.7500           0.1277       0.0598       0.0680   525.8
1.8000           0.1277       0.0658       0.0620   479.5
1.8500           0.1277       0.0663       0.0615   475.5
1.9000           0.1277       0.0644       0.0634   490.3
1.9500           0.1277       0.0610       0.0668   516.6
2.0000           0.1277       0.0650       0.0628   485.6
2.0500           0.1277       0.0638       0.0640   494.9
2.1000           0.1277       0.0646       0.0631   488.2
2.1500           0.1277       0.0613       0.0665   514.3
2.2000           0.1277       0.0641       0.0636   492.1
2.2500           0.1277       0.0628       0.0649   502.2
2.3000           0.1277       0.0659       0.0619   478.7
2.3500           0.1277       0.0631       0.0646   499.9
2.4000           0.1277       0.0631       0.0646   499.9
2.4500           0.1277       0.0646       0.0631   488.1
2.5000           0.1277       0.0620       0.0657   508.2
2.5500           0.1277       0.0631       0.0647   500.3
2.6000           0.1277       0.0651       0.0626   484.3
2.6500           0.1277       0.0636       0.0641   495.8
2.7000           0.1277       0.0632       0.0646   499.5
2.7500           0.1277       0.0642       0.0635   491.2
2.8000           0.1277       0.0634       0.0643   497.7
2.8500           0.1277       0.0656       0.0621   480.6
2.9000           0.1277       0.0645       0.0632   489.3
2.9500           0.1277       0.0623       0.0654   506.2
3.0000           0.1277       0.0650       0.0627   485.4
3.0500           0.1277       0.0629       0.0648   501.4
3.1000           0.1277       0.0602       0.0676   522.6
3.1500           0.1277       0.0643       0.0635   490.9
3.2000           0.1277       0.0668       0.0610   471.7
3.2500           0.1277       0.0648       0.0630   487.1
3.3000           0.1277       0.0677       0.0601   464.6
3.3500           0.1277       0.0620       0.0657   508.7
3.4000           0.1277       0.0659       0.0619   478.8
3.4500           0.1277       0.0628       0.0649   502.0
3.5000           0.1277       0.0598       0.0679   525.6
3.5500           0.1277       0.0628       0.0649   502.2
3.6000           0.1277       0.0664       0.0613   474.6
3.6500           0.1277       0.0646       0.0632   488.7
3.7000           0.1277       0.0648       0.0630   487.2
3.7500           0.1277       0.0608       0.0670   518.1
3.8000           0.1277       0.0653       0.0625   483.3
3.8500           0.1277       0.0671       0.0606   469.0
3.9000           0.1277       0.0619       0.0658   509.3
3.9500           0.1277       0.0656       0.0621   480.5
4.0000           0.1277       0.0677       0.0601   464.6
4.0500           0.1277       0.0637       0.0640   495.3
4.1000           0.1277       0.0632       0.0645   499.2
4.1500           0.1277       0.0622       0.0655   506.8
4.2000           0.1277       0.0624       0.0653   505.5
4.2500           0.1277       0.0642       0.0635   491.3
4.3000           0.1277       0.0638       0.0640   494.8
4.3500           0.1277       0.0653       0.0625   483.2
4.4000           0.1277       0.0592       0.0686   530.6
4.4500           0.1277       0.0677       0.0601   464.6
4.5000           0.1277       0.0686       0.0591   457.3
4.5500           0.1277       0.0616       0.0662   511.8
4.6000           0.1277       0.0627       0.0651   503.3
4.6500           0.1277       0.0659       0.0618   478.3
4.7000           0.1277       0.0621       0.0657   508.1
4.7500           0.1277       0.0648       0.0630   487.1
4.8000           0.1277       0.0625       0.0653   504.8
4.8500           0.1277       0.0638       0.0639   494.6
4.9000           0.1277       0.0635       0.0643   497.3
4.9500           0.1277       0.0615       0.0663   512.7
5.0000           0.1277       0.0663       0.0614   475.0
