Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1352       0.0668       0.0684   528.9
0.0500           0.1352       0.0678       0.0674   521.8
0.1000           0.1352       0.0680       0.0672   520.2
0.1500           0.1352       0.0666       0.0686   530.6
0.2000           0.1352       0.0660       0.0692   535.2
0.2500           0.1352       0.0681       0.0671   519.3
0.3000           0.1352       0.0730       0.0622   481.4
0.3500           0.1352       0.0656       0.0696   538.8
0.4000           0.1352       0.0650       0.0702   543.1
0.4500           0.1352       0.0687       0.0665   514.4
0.5000           0.1352       0.0696       0.0656   507.6
0.5500           0.1352       0.0682       0.0670   518.6
0.6000           0.1352       0.0670       0.0682   528.0
0.6500           0.1352       0.0656       0.0696   538.3
0.7000           0.1352       0.0710       0.0642   496.5
0.7500           0.1352       0.0707       0.0645   499.0
0.8000           0.1352       0.0682       0.0670   518.4
0.8500           0.1352       0.0648       0.0704   544.8
0.9000           0.1352       0.0687       0.0665   514.6
0.9500           0.1352       0.0679       0.0673   520.8
1.0000           0.1352       0.0641       0.0712   550.5
1.0500           0.1352       0.0700       0.0652   504.3
1.1000           0.1352       0.0691       0.0661   511.1
1.1500           0.1352       0.0699       0.0653   505.0
1.2000           0.1352       0.0645       0.0707   547.2
1.2500           0.1352       0.0692       0.0660   510.4
1.3000           0.1352       0.0697       0.0656   507.1
1.3500           0.1352       0.0647       0.0705   545.7
1.4000           0.1352       0.0670       0.0682   527.5
1.4500           0.1352       0.0680       0.0672   520.2
1.5000           0.1352       0.0672       0.0681   526.5
1.5500           0.1352       0.0683       0.0669   517.4
1.6000           0.1352       0.0669       0.0684   528.8
1.6500           0.1352       0.0689       0.0663   513.3
1.7000           0.1352       0.0692       0.0660   510.6
1.7500           0.1352       0.0673       0.0679   525.3
1.8000           0.1352       0.0655       0.0697   539.5
1.8500           0.1352       0.0679       0.0673   520.5
1.9000           0.1352       0.0651       0.0702   542.7
1.9500           0.1352       0.0672       0.0680   526.4
2.0000           0.1352       0.0694       0.0658   508.9
2.0500           0.1352       0.0671       0.0681   526.9
2.1000           0.1352       0.0690       0.0662   511.9
2.1500           0.1352       0.0677       0.0675   522.1
2.2000           0.1352       0.0684       0.0668   516.7
2.2500           0.1352       0.0681       0.0672   519.5
2.3000           0.1352       0.0631       0.0722   558.2
2.3500           0.1352       0.0698       0.0654   505.8
2.4000           0.1352       0.0696       0.0656   507.7
2.4500           0.1352       0.0676       0.0676   523.2
2.5000           0.1352       0.0704       0.0648   501.2
2.5500           0.1352       0.0665       0.0687   531.2
2.6000           0.1352       0.0658       0.0694   537.0
2.6500           0.1352       0.0661       0.0691   534.7
2.7000           0.1352       0.0678       0.0675   521.9
2.7500           0.1352       0.0725       0.0628   485.5
2.8000           0.1352       0.0679       0.0674   521.1
2.8500           0.1352       0.0669       0.0683   528.3
2.9000           0.1352       0.0648       0.0704   545.0
2.9500           0.1352       0.0690       0.0662   512.4
3.0000           0.1352       0.0694       0.0658   509.2
3.0500           0.1352       0.0656       0.0696   538.4
3.1000           0.1352       0.0643       0.0709   548.9
3.1500           0.1352       0.0692       0.0660   510.4
3.2000           0.1352       0.0685       0.0667   516.2
3.2500           0.1352       0.0677       0.0675   522.2
3.3000           0.1352       0.0707       0.0645   499.2
3.3500           0.1352       0.0685       0.0667   516.2
3.4000           0.1352       0.0668       0.0684   529.3
3.4500           0.1352       0.0683       0.0669   517.8
3.5000           0.1352       0.0652       0.0700   541.8
3.5500           0.1352       0.0695       0.0657   508.6
3.6000           0.1352       0.0669       0.0683   528.3
3.6500           0.1352       0.0671       0.0681   526.6
3.7000           0.1352       0.0679       0.0673   520.6
3.7500           0.1352       0.0687       0.0666   514.9
3.8000           0.1352       0.0661       0.0691   534.8
3.8500           0.1352       0.0680       0.0672   520.2
3.9000           0.1352       0.0672       0.0680   526.3
3.9500           0.1352       0.0697       0.0655   507.0
4.0000           0.1352       0.0639       0.0713   551.3
4.0500           0.1352       0.0710       0.0642   496.4
4.1000           0.1352       0.0699       0.0653   505.1
4.1500           0.1352       0.0684       0.0668   516.8
4.2000           0.1352       0.0655       0.0697   539.5
4.2500           0.1352       0.0693       0.0660   510.3
4.3000           0.1352       0.0650       0.0702   543.0
4.3500           0.1352       0.0660       0.0692   535.3
4.4000           0.1352       0.0674       0.0678   524.9
4.4500           0.1352       0.0673       0.0679   525.4
4.5000           0.1352       0.0692       0.0660   510.7
4.5500           0.1352       0.0688       0.0664   513.4
4.6000           0.1352       0.0669       0.0683   528.3
4.6500           0.1352       0.0683       0.0669   517.7
4.7000           0.1352       0.0670       0.0682   527.8
4.7500           0.1352       0.0688       0.0664   513.9
4.8000           0.1352       0.0667       0.0685   529.9
4.8500           0.1352       0.0647       0.0705   545.4
4.9000           0.1352       0.0684       0.0669   517.2
4.9500           0.1352       0.0689       0.0663   512.8
5.0000           0.1352       0.0687       0.0665   514.5
