Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0912       0.0000       0.0912   705.7
0.0250           0.0903       0.0379       0.0524   405.2
0.0500           0.0912       0.0508       0.0404   312.4
0.0750           0.0914       0.0388       0.0526   407.1
0.1000           0.0913       0.0589       0.0324   250.9
0.1250           0.0919       0.0606       0.0313   242.1
0.1500           0.0916       0.0468       0.0448   346.8
0.1750           0.0921       0.0521       0.0400   309.5
0.2000           0.0940       0.0431       0.0509   393.6
0.2250           0.0940       0.0394       0.0545   421.8
0.2500           0.0940       0.0480       0.0460   355.8
0.2750           0.0947       0.0487       0.0460   355.7
0.3000           0.0957       0.0510       0.0446   345.2
0.3250           0.0965       0.0544       0.0421   325.9
0.3500           0.0969       0.0505       0.0464   358.8
0.3750           0.0973       0.0453       0.0520   402.2
0.4000           0.0978       0.0473       0.0505   390.5
0.4250           0.0982       0.0480       0.0502   388.0
0.4500           0.0986       0.0466       0.0520   402.3
0.4750           0.0996       0.0480       0.0516   399.0
0.5000           0.1004       0.0503       0.0501   387.9
0.5250           0.1004       0.0489       0.0515   398.6
0.5500           0.1016       0.0511       0.0505   390.9
0.5750           0.1024       0.0487       0.0537   415.4
0.6000           0.1034       0.0513       0.0521   402.9
0.6250           0.1036       0.0528       0.0508   392.9
0.6500           0.1042       0.0496       0.0546   422.7
0.6750           0.1046       0.0511       0.0536   414.5
0.7000           0.1051       0.0559       0.0492   380.7
0.7250           0.1062       0.0522       0.0540   417.9
0.7500           0.1066       0.0527       0.0539   416.6
0.7750           0.1069       0.0567       0.0502   388.3
0.8000           0.1066       0.0526       0.0540   417.9
0.8250           0.1070       0.0507       0.0563   435.2
0.8500           0.1075       0.0562       0.0513   396.8
0.8750           0.1079       0.0539       0.0540   417.8
0.9000           0.1086       0.0544       0.0542   419.1
0.9250           0.1080       0.0578       0.0502   388.6
0.9500           0.1081       0.0521       0.0560   433.0
0.9750           0.1077       0.0527       0.0550   425.2
1.0000           0.1079       0.0553       0.0526   406.9
1.0250           0.1076       0.0512       0.0564   436.3
1.0500           0.1077       0.0510       0.0567   438.9
1.0750           0.1079       0.0569       0.0510   394.7
1.1000           0.1084       0.0525       0.0559   432.3
1.1250           0.1085       0.0531       0.0554   428.2
1.1500           0.1081       0.0577       0.0505   390.4
1.1750           0.1082       0.0546       0.0536   414.7
1.2000           0.1086       0.0543       0.0544   420.5
1.2250           0.1091       0.0548       0.0544   420.6
1.2500           0.1101       0.0542       0.0559   432.4
1.2750           0.1112       0.0554       0.0558   431.6
1.3000           0.1115       0.0531       0.0584   451.7
1.3250           0.1109       0.0526       0.0583   450.9
1.3500           0.1107       0.0549       0.0557   431.2
1.3750           0.1108       0.0558       0.0550   425.2
1.4000           0.1117       0.0564       0.0553   427.5
1.4250           0.1119       0.0559       0.0560   433.6
1.4500           0.1124       0.0582       0.0542   419.6
1.4750           0.1123       0.0574       0.0548   424.0
1.5000           0.1131       0.0557       0.0574   443.9
1.5250           0.1131       0.0578       0.0553   427.6
1.5500           0.1133       0.0558       0.0575   445.0
1.5750           0.1132       0.0578       0.0555   429.0
1.6000           0.1136       0.0584       0.0552   427.2
1.6250           0.1140       0.0542       0.0598   462.7
1.6500           0.1143       0.0562       0.0582   449.9
1.6750           0.1140       0.0591       0.0549   424.7
1.7000           0.1136       0.0566       0.0570   440.8
1.7250           0.1142       0.0564       0.0578   447.0
1.7500           0.1152       0.0586       0.0565   437.4
1.7750           0.1157       0.0585       0.0572   442.2
1.8000           0.1158       0.0534       0.0624   483.0
1.8250           0.1157       0.0565       0.0592   457.9
1.8500           0.1156       0.0588       0.0568   439.1
1.8750           0.1149       0.0555       0.0593   458.9
1.9000           0.1138       0.0575       0.0563   435.9
1.9250           0.1144       0.0563       0.0581   449.8
1.9500           0.1141       0.0559       0.0582   450.1
1.9750           0.1150       0.0597       0.0553   427.6
2.0000           0.1147       0.0569       0.0578   447.0
2.0250           0.1140       0.0551       0.0589   455.9
2.0500           0.1140       0.0588       0.0552   427.2
2.0750           0.1151       0.0584       0.0567   438.9
2.1000           0.1147       0.0570       0.0577   446.5
2.1250           0.1150       0.0598       0.0552   427.0
2.1500           0.1148       0.0586       0.0562   434.6
2.1750           0.1144       0.0553       0.0591   457.3
2.2000           0.1138       0.0572       0.0567   438.3
2.2250           0.1152       0.0540       0.0612   473.6
2.2500           0.1166       0.0565       0.0601   464.8
2.2750           0.1168       0.0588       0.0580   448.5
2.3000           0.1159       0.0565       0.0594   459.5
2.3250           0.1156       0.0589       0.0567   438.9
2.3500           0.1149       0.0612       0.0537   415.7
2.3750           0.1155       0.0561       0.0595   460.1
2.4000           0.1156       0.0596       0.0559   432.6
2.4250           0.1148       0.0579       0.0569   440.6
2.4500           0.1142       0.0539       0.0603   466.1
2.4750           0.1137       0.0566       0.0571   441.8
2.5000           0.1137       0.0573       0.0565   436.8
2.5250           0.1135       0.0565       0.0571   441.6
2.5500           0.1145       0.0576       0.0568   439.7
2.5750           0.1144       0.0575       0.0569   439.8
2.6000           0.1142       0.0568       0.0575   444.6
2.6250           0.1150       0.0584       0.0566   437.7
2.6500           0.1158       0.0558       0.0600   464.6
2.6750           0.1156       0.0558       0.0598   462.8
2.7000           0.1166       0.0594       0.0572   442.6
