Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0605       0.0000       0.0605   467.7
0.0250           0.0601       0.0241       0.0360   278.6
0.0500           0.0606       0.0344       0.0262   202.7
0.0750           0.0606       0.0279       0.0328   253.6
0.1000           0.0613       0.0406       0.0207   160.4
0.1250           0.0619       0.0407       0.0213   164.6
0.1500           0.0621       0.0318       0.0303   234.4
0.1750           0.0623       0.0359       0.0264   204.1
0.2000           0.0624       0.0276       0.0348   269.4
0.2250           0.0622       0.0235       0.0387   299.3
0.2500           0.0623       0.0320       0.0303   234.2
0.2750           0.0625       0.0322       0.0303   234.5
0.3000           0.0625       0.0317       0.0308   238.1
0.3250           0.0626       0.0358       0.0268   207.1
0.3500           0.0630       0.0339       0.0291   225.2
0.3750           0.0631       0.0329       0.0303   234.3
0.4000           0.0628       0.0325       0.0303   234.2
0.4250           0.0631       0.0286       0.0345   266.5
0.4500           0.0636       0.0278       0.0358   276.6
0.4750           0.0636       0.0312       0.0324   250.9
0.5000           0.0641       0.0289       0.0352   272.7
0.5250           0.0649       0.0304       0.0345   267.0
0.5500           0.0647       0.0335       0.0312   241.3
0.5750           0.0647       0.0314       0.0333   257.4
0.6000           0.0648       0.0339       0.0309   239.0
0.6250           0.0650       0.0359       0.0291   225.0
0.6500           0.0649       0.0305       0.0344   265.7
0.6750           0.0651       0.0316       0.0335   259.5
0.7000           0.0651       0.0346       0.0305   236.3
0.7250           0.0657       0.0314       0.0343   265.0
0.7500           0.0659       0.0336       0.0324   250.4
0.7750           0.0664       0.0346       0.0318   246.0
0.8000           0.0667       0.0331       0.0336   259.8
0.8250           0.0669       0.0330       0.0340   262.7
0.8500           0.0668       0.0331       0.0337   260.5
0.8750           0.0663       0.0317       0.0346   267.9
0.9000           0.0665       0.0327       0.0339   262.1
0.9250           0.0664       0.0336       0.0328   253.6
0.9500           0.0669       0.0334       0.0335   259.5
0.9750           0.0670       0.0341       0.0330   255.2
1.0000           0.0675       0.0356       0.0320   247.3
1.0250           0.0677       0.0340       0.0338   261.2
1.0500           0.0676       0.0324       0.0353   272.8
1.0750           0.0678       0.0338       0.0341   263.5
1.1000           0.0681       0.0331       0.0350   271.0
1.1250           0.0682       0.0336       0.0346   267.7
1.1500           0.0682       0.0353       0.0328   253.9
1.1750           0.0682       0.0359       0.0323   249.9
1.2000           0.0678       0.0359       0.0319   246.8
1.2250           0.0683       0.0334       0.0350   270.5
1.2500           0.0686       0.0316       0.0369   285.8
1.2750           0.0686       0.0336       0.0350   270.8
1.3000           0.0684       0.0341       0.0343   265.6
1.3250           0.0681       0.0339       0.0342   264.3
1.3500           0.0681       0.0347       0.0335   258.8
1.3750           0.0681       0.0343       0.0338   261.3
1.4000           0.0677       0.0343       0.0334   258.7
1.4250           0.0678       0.0347       0.0331   255.7
1.4500           0.0678       0.0333       0.0345   266.8
1.4750           0.0681       0.0331       0.0349   270.4
1.5000           0.0687       0.0337       0.0349   270.2
1.5250           0.0687       0.0339       0.0348   269.2
1.5500           0.0689       0.0336       0.0354   273.6
1.5750           0.0690       0.0353       0.0337   260.8
1.6000           0.0690       0.0358       0.0332   256.6
1.6250           0.0690       0.0352       0.0339   261.9
1.6500           0.0696       0.0347       0.0349   270.0
1.6750           0.0698       0.0348       0.0350   270.5
1.7000           0.0702       0.0348       0.0354   273.9
1.7250           0.0710       0.0343       0.0367   283.8
1.7500           0.0710       0.0338       0.0373   288.4
1.7750           0.0711       0.0343       0.0367   284.1
1.8000           0.0710       0.0355       0.0355   274.3
1.8250           0.0706       0.0360       0.0347   268.2
1.8500           0.0713       0.0356       0.0357   275.9
1.8750           0.0707       0.0352       0.0355   274.4
1.9000           0.0707       0.0375       0.0332   256.5
1.9250           0.0713       0.0367       0.0346   267.6
1.9500           0.0716       0.0343       0.0373   288.6
1.9750           0.0719       0.0342       0.0376   291.2
2.0000           0.0720       0.0359       0.0361   279.2
2.0250           0.0720       0.0356       0.0364   281.5
2.0500           0.0722       0.0361       0.0361   279.0
2.0750           0.0727       0.0367       0.0360   278.5
2.1000           0.0726       0.0365       0.0361   279.2
2.1250           0.0729       0.0367       0.0362   279.8
2.1500           0.0734       0.0377       0.0357   276.4
2.1750           0.0739       0.0361       0.0378   292.1
2.2000           0.0743       0.0356       0.0388   299.9
2.2250           0.0736       0.0367       0.0368   285.0
2.2500           0.0737       0.0381       0.0356   275.4
2.2750           0.0743       0.0358       0.0385   298.1
2.3000           0.0745       0.0365       0.0379   293.5
2.3250           0.0747       0.0376       0.0372   287.5
2.3500           0.0749       0.0371       0.0377   291.9
2.3750           0.0749       0.0373       0.0376   291.0
2.4000           0.0754       0.0391       0.0363   281.0
2.4250           0.0753       0.0391       0.0362   279.9
2.4500           0.0755       0.0385       0.0370   286.4
2.4750           0.0749       0.0379       0.0371   286.8
2.5000           0.0750       0.0365       0.0385   297.9
2.5250           0.0749       0.0355       0.0395   305.3
2.5500           0.0751       0.0369       0.0382   295.8
2.5750           0.0749       0.0391       0.0358   276.9
2.6000           0.0752       0.0378       0.0374   289.2
2.6250           0.0755       0.0368       0.0387   299.5
2.6500           0.0758       0.0380       0.0377   292.0
2.6750           0.0756       0.0392       0.0363   281.1
2.7000           0.0756       0.0359       0.0396   306.6
2.7250           0.0756       0.0362       0.0394   305.2
2.7500           0.0756       0.0374       0.0382   295.3
2.7750           0.0751       0.0363       0.0388   300.0
2.8000           0.0749       0.0378       0.0371   287.2
2.8250           0.0751       0.0382       0.0369   285.7
2.8500           0.0748       0.0358       0.0390   301.7
2.8750           0.0752       0.0373       0.0378   292.8
2.9000           0.0755       0.0384       0.0371   286.8
2.9250           0.0756       0.0366       0.0390   302.0
2.9500           0.0751       0.0390       0.0361   279.5
2.9750           0.0754       0.0415       0.0339   262.1
3.0000           0.0759       0.0384       0.0374   289.6
3.0250           0.0758       0.0379       0.0379   293.1
3.0500           0.0756       0.0371       0.0386   298.3
3.0750           0.0754       0.0366       0.0388   300.3
3.1000           0.0754       0.0372       0.0382   295.8
3.1250           0.0754       0.0371       0.0383   296.4
3.1500           0.0750       0.0373       0.0377   292.0
3.1750           0.0751       0.0384       0.0367   284.1
3.2000           0.0755       0.0395       0.0360   278.6
3.2250           0.0756       0.0378       0.0378   292.5
3.2500           0.0756       0.0365       0.0391   302.1
3.2750           0.0759       0.0375       0.0384   297.1
3.3000           0.0761       0.0374       0.0387   299.3
3.3250           0.0760       0.0367       0.0393   304.2
3.3500           0.0758       0.0371       0.0387   299.0
3.3750           0.0757       0.0383       0.0374   289.5
3.4000           0.0756       0.0383       0.0373   288.5
3.4250           0.0746       0.0375       0.0371   287.1
3.4500           0.0745       0.0380       0.0365   282.0
3.4750           0.0744       0.0387       0.0356   275.7
3.5000           0.0740       0.0363       0.0377   291.4
3.5250           0.0736       0.0360       0.0377   291.5
3.5500           0.0734       0.0362       0.0371   287.3
3.5750           0.0732       0.0361       0.0371   287.4
3.6000           0.0733       0.0361       0.0372   287.9
3.6250           0.0735       0.0367       0.0368   284.9
3.6500           0.0736       0.0372       0.0363   281.2
3.6750           0.0733       0.0367       0.0366   283.0
3.7000           0.0733       0.0362       0.0371   287.3
3.7250           0.0731       0.0363       0.0369   285.1
3.7500           0.0731       0.0368       0.0363   280.8
3.7750           0.0729       0.0353       0.0377   291.3
3.8000           0.0734       0.0370       0.0364   281.6
3.8250           0.0739       0.0359       0.0380   294.3
3.8500           0.0744       0.0368       0.0376   291.3
3.8750           0.0745       0.0386       0.0359   277.8
3.9000           0.0741       0.0366       0.0375   290.1
3.9250           0.0742       0.0370       0.0372   287.5
3.9500           0.0738       0.0393       0.0345   267.3
3.9750           0.0739       0.0364       0.0375   289.9
4.0000           0.0741       0.0373       0.0368   284.3
4.0250           0.0739       0.0386       0.0353   273.2
4.0500           0.0739       0.0347       0.0392   302.9
4.0750           0.0739       0.0357       0.0382   295.2
4.1000           0.0740       0.0380       0.0361   279.0
4.1250           0.0744       0.0360       0.0384   297.0
4.1500           0.0744       0.0359       0.0385   297.8
4.1750           0.0744       0.0373       0.0371   287.3
4.2000           0.0740       0.0369       0.0371   287.2
4.2250           0.0742       0.0373       0.0369   285.1
4.2500           0.0744       0.0373       0.0371   286.9
4.2750           0.0743       0.0368       0.0375   290.0
4.3000           0.0744       0.0367       0.0377   291.8
4.3250           0.0746       0.0372       0.0373   288.8
4.3500           0.0749       0.0376       0.0373   288.9
4.3750           0.0750       0.0361       0.0389   301.1
4.4000           0.0749       0.0366       0.0383   296.3
4.4250           0.0749       0.0385       0.0363   281.2
4.4500           0.0748       0.0363       0.0385   297.8
4.4750           0.0745       0.0382       0.0363   281.2
4.5000           0.0748       0.0387       0.0361   279.1
4.5250           0.0748       0.0361       0.0386   299.0
4.5500           0.0747       0.0385       0.0362   280.1
4.5750           0.0741       0.0371       0.0369   285.5
4.6000           0.0739       0.0350       0.0389   301.3
4.6250           0.0741       0.0370       0.0372   287.8
4.6500           0.0739       0.0368       0.0371   286.9
4.6750           0.0739       0.0360       0.0379   293.3
4.7000           0.0734       0.0378       0.0356   275.6
4.7250           0.0732       0.0370       0.0362   280.1
4.7500           0.0725       0.0362       0.0363   280.6
4.7750           0.0722       0.0360       0.0362   280.2
4.8000           0.0729       0.0359       0.0369   285.8
4.8250           0.0734       0.0342       0.0391   302.7
4.8500           0.0735       0.0359       0.0376   290.6
4.8750           0.0734       0.0372       0.0361   279.4
4.9000           0.0733       0.0370       0.0363   280.8
4.9250           0.0735       0.0367       0.0368   284.8
4.9500           0.0738       0.0376       0.0362   279.9
4.9750           0.0739       0.0367       0.0373   288.3
5.0000           0.0741       0.0366       0.0375   290.2
5.0250           0.0739       0.0359       0.0380   294.0
5.0500           0.0743       0.0375       0.0368   284.8
5.0750           0.0740       0.0372       0.0369   285.2
5.1000           0.0743       0.0365       0.0377   291.9
5.1250           0.0737       0.0387       0.0351   271.3
5.1500           0.0731       0.0371       0.0359   277.8
5.1750           0.0733       0.0359       0.0374   289.2
5.2000           0.0728       0.0371       0.0357   276.1
5.2250           0.0729       0.0357       0.0372   288.0
5.2500           0.0731       0.0358       0.0374   289.1
5.2750           0.0732       0.0384       0.0347   268.7
5.3000           0.0730       0.0367       0.0363   281.0
5.3250           0.0729       0.0358       0.0371   286.7
5.3500           0.0734       0.0372       0.0362   280.3
5.3750           0.0736       0.0358       0.0378   292.8
5.4000           0.0732       0.0335       0.0397   307.4
5.4250           0.0733       0.0352       0.0381   294.6
5.4500           0.0736       0.0373       0.0363   281.0
5.4750           0.0736       0.0366       0.0370   286.6
5.5000           0.0739       0.0371       0.0368   284.7
5.5250           0.0739       0.0375       0.0363   281.2
5.5500           0.0741       0.0370       0.0371   287.0
5.5750           0.0740       0.0374       0.0366   283.1
5.6000           0.0743       0.0373       0.0370   286.2
5.6250           0.0741       0.0361       0.0380   293.7
5.6500           0.0739       0.0374       0.0365   282.1
5.6750           0.0745       0.0380       0.0365   282.5
5.7000           0.0750       0.0389       0.0361   279.3
5.7250           0.0752       0.0384       0.0368   284.7
5.7500           0.0755       0.0364       0.0392   303.0
5.7750           0.0756       0.0377       0.0379   293.3
5.8000           0.0759       0.0372       0.0387   299.2
5.8250           0.0761       0.0351       0.0410   317.2
5.8500           0.0761       0.0379       0.0382   295.8
5.8750           0.0762       0.0376       0.0386   298.3
5.9000           0.0757       0.0366       0.0391   302.8
5.9250           0.0757       0.0399       0.0358   277.1
5.9500           0.0757       0.0409       0.0348   269.1
5.9750           0.0759       0.0380       0.0379   293.6
6.0000           0.0759       0.0378       0.0381   294.5
6.0250           0.0759       0.0382       0.0377   291.7
6.0500           0.0759       0.0371       0.0388   300.4
6.0750           0.0760       0.0366       0.0394   305.0
6.1000           0.0763       0.0379       0.0384   297.2
6.1250           0.0762       0.0379       0.0383   296.2
6.1500           0.0765       0.0390       0.0375   290.0
6.1750           0.0766       0.0394       0.0372   287.6
6.2000           0.0768       0.0377       0.0392   302.9
6.2250           0.0766       0.0377       0.0389   301.2
6.2500           0.0767       0.0390       0.0377   291.7
6.2750           0.0771       0.0368       0.0403   311.9
6.3000           0.0766       0.0363       0.0403   312.0
6.3250           0.0770       0.0382       0.0388   300.2
6.3500           0.0773       0.0396       0.0377   291.8
6.3750           0.0779       0.0390       0.0389   301.1
6.4000           0.0783       0.0402       0.0381   294.5
6.4250           0.0784       0.0382       0.0402   310.8
6.4500           0.0783       0.0396       0.0387   299.5
6.4750           0.0787       0.0392       0.0395   305.3
6.5000           0.0786       0.0378       0.0408   315.7
6.5250           0.0788       0.0397       0.0391   302.5
6.5500           0.0784       0.0394       0.0390   302.1
6.5750           0.0785       0.0390       0.0395   305.4
6.6000           0.0785       0.0399       0.0386   298.4
6.6250           0.0788       0.0395       0.0393   304.0
6.6500           0.0791       0.0397       0.0395   305.3
6.6750           0.0788       0.0393       0.0394   305.2
6.7000           0.0789       0.0380       0.0409   316.1
6.7250           0.0794       0.0404       0.0389   301.3
6.7500           0.0794       0.0410       0.0384   297.4
6.7750           0.0791       0.0381       0.0410   317.3
6.8000           0.0792       0.0394       0.0399   308.3
6.8250           0.0792       0.0413       0.0379   292.9
6.8500           0.0795       0.0400       0.0395   305.9
6.8750           0.0796       0.0384       0.0412   318.4
6.9000           0.0796       0.0387       0.0410   316.9
6.9250           0.0795       0.0397       0.0398   308.1
6.9500           0.0797       0.0385       0.0412   318.5
6.9750           0.0797       0.0398       0.0399   308.4
7.0000           0.0801       0.0418       0.0384   296.7
7.0250           0.0803       0.0393       0.0410   317.2
7.0500           0.0801       0.0401       0.0399   309.0
7.0750           0.0798       0.0414       0.0384   297.3
7.1000           0.0802       0.0386       0.0416   322.1
7.1250           0.0802       0.0391       0.0410   317.4
7.1500           0.0803       0.0405       0.0398   307.8
7.1750           0.0801       0.0379       0.0422   326.3
7.2000           0.0801       0.0388       0.0413   319.2
7.2250           0.0799       0.0404       0.0395   305.9
7.2500           0.0802       0.0397       0.0406   313.9
7.2750           0.0803       0.0406       0.0397   307.2
7.3000           0.0805       0.0424       0.0380   294.3
7.3250           0.0804       0.0391       0.0413   319.4
7.3500           0.0801       0.0401       0.0400   309.2
7.3750           0.0800       0.0415       0.0385   298.0
7.4000           0.0797       0.0392       0.0405   313.6
7.4250           0.0803       0.0384       0.0419   323.9
7.4500           0.0802       0.0415       0.0387   299.4
7.4750           0.0796       0.0412       0.0384   297.4
7.5000           0.0797       0.0387       0.0410   317.1
7.5250           0.0798       0.0396       0.0402   310.6
7.5500           0.0800       0.0394       0.0406   313.9
7.5750           0.0799       0.0391       0.0407   315.2
7.6000           0.0801       0.0382       0.0418   323.6
7.6250           0.0799       0.0384       0.0415   321.2
7.6500           0.0804       0.0396       0.0408   315.3
7.6750           0.0796       0.0383       0.0413   319.4
7.7000           0.0800       0.0390       0.0411   317.7
7.7250           0.0797       0.0397       0.0400   309.6
7.7500           0.0796       0.0406       0.0390   301.5
7.7750           0.0789       0.0409       0.0380   293.7
7.8000           0.0791       0.0405       0.0386   298.7
7.8250           0.0795       0.0395       0.0400   309.3
7.8500           0.0796       0.0411       0.0384   297.3
7.8750           0.0800       0.0409       0.0391   302.2
7.9000           0.0806       0.0410       0.0396   306.3
7.9250           0.0807       0.0413       0.0394   304.5
7.9500           0.0810       0.0416       0.0394   305.1
7.9750           0.0813       0.0389       0.0424   328.2
8.0000           0.0806       0.0404       0.0403   311.4
8.0250           0.0809       0.0396       0.0413   319.6
8.0500           0.0809       0.0392       0.0417   322.7
8.0750           0.0811       0.0402       0.0409   316.4
8.1000           0.0811       0.0400       0.0411   318.2
8.1250           0.0814       0.0395       0.0419   323.8
8.1500           0.0813       0.0399       0.0414   320.4
8.1750           0.0814       0.0405       0.0410   316.9
8.2000           0.0813       0.0413       0.0400   309.5
8.2250           0.0819       0.0410       0.0410   316.8
8.2500           0.0823       0.0400       0.0423   327.5
8.2750           0.0826       0.0399       0.0427   330.1
8.3000           0.0822       0.0410       0.0412   318.6
8.3250           0.0818       0.0426       0.0392   302.9
8.3500           0.0818       0.0422       0.0396   306.2
8.3750           0.0809       0.0408       0.0401   310.0
8.4000           0.0813       0.0425       0.0387   299.7
8.4250           0.0811       0.0430       0.0381   294.8
8.4500           0.0806       0.0394       0.0412   318.7
8.4750           0.0807       0.0403       0.0404   312.7
8.5000           0.0804       0.0397       0.0407   314.5
8.5250           0.0803       0.0387       0.0416   322.2
8.5500           0.0800       0.0397       0.0403   311.9
8.5750           0.0798       0.0394       0.0404   312.5
8.6000           0.0795       0.0382       0.0414   320.0
8.6250           0.0794       0.0401       0.0394   304.6
8.6500           0.0795       0.0389       0.0406   314.0
8.6750           0.0800       0.0376       0.0423   327.6
8.7000           0.0796       0.0416       0.0380   293.6
8.7250           0.0799       0.0414       0.0385   297.8
8.7500           0.0800       0.0388       0.0412   319.0
8.7750           0.0790       0.0405       0.0385   297.9
8.8000           0.0785       0.0402       0.0383   296.7
8.8250           0.0788       0.0383       0.0404   312.9
8.8500           0.0787       0.0395       0.0393   303.7
8.8750           0.0792       0.0393       0.0399   308.7
8.9000           0.0791       0.0384       0.0407   314.7
8.9250           0.0792       0.0406       0.0387   299.1
8.9500           0.0793       0.0389       0.0404   312.7
8.9750           0.0796       0.0398       0.0398   308.2
9.0000           0.0796       0.0410       0.0385   298.2
9.0250           0.0799       0.0397       0.0401   310.5
9.0500           0.0798       0.0383       0.0415   321.3
9.0750           0.0804       0.0399       0.0405   313.6
9.1000           0.0800       0.0393       0.0407   314.5
9.1250           0.0794       0.0385       0.0409   316.5
9.1500           0.0794       0.0392       0.0402   311.2
9.1750           0.0790       0.0420       0.0370   286.5
9.2000           0.0794       0.0407       0.0387   299.2
9.2250           0.0799       0.0400       0.0399   308.9
9.2500           0.0802       0.0406       0.0396   306.6
9.2750           0.0803       0.0390       0.0413   319.8
9.3000           0.0802       0.0396       0.0406   314.3
9.3250           0.0802       0.0398       0.0404   312.6
9.3500           0.0804       0.0380       0.0424   327.7
9.3750           0.0802       0.0408       0.0395   305.3
9.4000           0.0807       0.0395       0.0412   318.7
9.4250           0.0802       0.0381       0.0421   325.5
9.4500           0.0801       0.0405       0.0397   306.9
9.4750           0.0803       0.0399       0.0403   312.1
9.5000           0.0803       0.0390       0.0414   319.9
9.5250           0.0805       0.0405       0.0400   309.7
9.5500           0.0805       0.0397       0.0408   315.8
9.5750           0.0805       0.0411       0.0393   304.3
9.6000           0.0804       0.0414       0.0390   301.8
9.6250           0.0800       0.0401       0.0399   308.4
9.6500           0.0802       0.0403       0.0399   308.9
9.6750           0.0796       0.0411       0.0385   297.9
9.7000           0.0795       0.0405       0.0389   301.0
9.7250           0.0793       0.0411       0.0382   295.7
9.7500           0.0802       0.0407       0.0394   305.1
9.7750           0.0803       0.0383       0.0420   324.9
9.8000           0.0801       0.0388       0.0413   319.6
9.8250           0.0801       0.0405       0.0396   306.5
9.8500           0.0799       0.0383       0.0416   321.8
9.8750           0.0798       0.0374       0.0424   328.1
9.9000           0.0800       0.0402       0.0398   307.7
9.9250           0.0800       0.0396       0.0404   312.4
9.9500           0.0801       0.0392       0.0408   315.8
9.9750           0.0794       0.0410       0.0384   297.0
10.0000          0.0795       0.0396       0.0399   308.6
