Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0605       0.0000       0.0605   467.7
0.0250           0.0601       0.0243       0.0358   276.9
0.0500           0.0607       0.0350       0.0257   198.8
0.0750           0.0610       0.0263       0.0347   268.3
0.1000           0.0612       0.0389       0.0223   172.5
0.1250           0.0619       0.0397       0.0222   171.9
0.1500           0.0623       0.0322       0.0301   232.8
0.1750           0.0629       0.0360       0.0269   208.1
0.2000           0.0636       0.0287       0.0350   270.5
0.2250           0.0634       0.0262       0.0372   287.9
0.2500           0.0637       0.0337       0.0299   231.6
0.2750           0.0636       0.0321       0.0314   243.2
0.3000           0.0636       0.0327       0.0309   239.1
0.3250           0.0640       0.0384       0.0255   197.6
0.3500           0.0640       0.0345       0.0295   228.5
0.3750           0.0640       0.0313       0.0327   252.8
0.4000           0.0644       0.0317       0.0328   253.7
0.4250           0.0644       0.0294       0.0350   270.5
0.4500           0.0649       0.0286       0.0363   280.6
0.4750           0.0651       0.0312       0.0339   262.1
0.5000           0.0648       0.0322       0.0326   252.0
0.5250           0.0652       0.0315       0.0337   261.1
0.5500           0.0653       0.0327       0.0326   252.5
0.5750           0.0652       0.0332       0.0320   247.3
0.6000           0.0649       0.0324       0.0325   251.2
0.6250           0.0647       0.0332       0.0315   243.8
0.6500           0.0646       0.0315       0.0331   256.3
0.6750           0.0646       0.0300       0.0346   267.5
0.7000           0.0646       0.0323       0.0323   250.1
0.7250           0.0652       0.0325       0.0327   252.6
0.7500           0.0650       0.0331       0.0320   247.4
0.7750           0.0655       0.0341       0.0314   242.9
0.8000           0.0656       0.0334       0.0321   248.7
0.8250           0.0657       0.0335       0.0322   249.4
0.8500           0.0653       0.0332       0.0321   248.1
0.8750           0.0651       0.0324       0.0327   253.0
0.9000           0.0655       0.0325       0.0330   255.2
0.9250           0.0655       0.0330       0.0325   251.3
0.9500           0.0663       0.0341       0.0323   249.5
0.9750           0.0662       0.0321       0.0341   263.5
1.0000           0.0669       0.0319       0.0349   270.2
1.0250           0.0668       0.0336       0.0332   257.2
1.0500           0.0674       0.0336       0.0338   261.2
1.0750           0.0675       0.0324       0.0351   271.4
1.1000           0.0673       0.0337       0.0337   260.5
1.1250           0.0674       0.0331       0.0343   265.4
1.1500           0.0672       0.0333       0.0339   262.1
1.1750           0.0671       0.0349       0.0322   249.4
1.2000           0.0675       0.0347       0.0327   253.3
1.2250           0.0673       0.0324       0.0349   269.9
1.2500           0.0670       0.0320       0.0351   271.3
1.2750           0.0672       0.0328       0.0344   266.3
1.3000           0.0681       0.0334       0.0347   268.6
1.3250           0.0679       0.0329       0.0350   270.7
1.3500           0.0682       0.0359       0.0323   249.8
1.3750           0.0689       0.0356       0.0333   257.8
1.4000           0.0691       0.0341       0.0350   271.1
1.4250           0.0699       0.0333       0.0365   282.6
1.4500           0.0703       0.0341       0.0361   279.6
1.4750           0.0702       0.0358       0.0344   266.3
1.5000           0.0704       0.0363       0.0341   263.5
1.5250           0.0699       0.0356       0.0343   265.1
1.5500           0.0700       0.0362       0.0337   261.0
1.5750           0.0702       0.0368       0.0333   257.9
1.6000           0.0705       0.0349       0.0356   275.7
1.6250           0.0705       0.0336       0.0369   285.3
1.6500           0.0708       0.0347       0.0361   279.5
1.6750           0.0707       0.0340       0.0367   284.3
1.7000           0.0706       0.0349       0.0357   276.3
1.7250           0.0709       0.0357       0.0351   271.7
1.7500           0.0708       0.0360       0.0347   268.8
1.7750           0.0706       0.0368       0.0338   261.5
1.8000           0.0708       0.0357       0.0351   271.3
1.8250           0.0712       0.0344       0.0368   284.8
1.8500           0.0712       0.0337       0.0375   290.3
1.8750           0.0712       0.0364       0.0348   269.6
1.9000           0.0711       0.0362       0.0349   270.1
1.9250           0.0705       0.0350       0.0355   274.5
1.9500           0.0703       0.0361       0.0343   265.0
1.9750           0.0701       0.0360       0.0341   263.8
2.0000           0.0707       0.0355       0.0352   272.5
2.0250           0.0704       0.0362       0.0343   265.2
2.0500           0.0708       0.0343       0.0365   282.1
2.0750           0.0700       0.0335       0.0365   282.3
2.1000           0.0701       0.0355       0.0346   267.4
2.1250           0.0698       0.0352       0.0346   267.6
2.1500           0.0701       0.0340       0.0361   278.9
2.1750           0.0709       0.0360       0.0348   269.4
