Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0771       0.0375       0.0396   306.4
0.0500           0.0771       0.0388       0.0383   296.4
0.1000           0.0771       0.0399       0.0372   287.6
0.1500           0.0771       0.0390       0.0381   295.0
0.2000           0.0771       0.0383       0.0388   300.0
0.2500           0.0771       0.0385       0.0386   298.9
0.3000           0.0771       0.0369       0.0403   311.4
0.3500           0.0771       0.0395       0.0377   291.4
0.4000           0.0771       0.0392       0.0380   293.6
0.4500           0.0771       0.0378       0.0393   304.0
0.5000           0.0771       0.0390       0.0381   294.8
0.5500           0.0771       0.0388       0.0383   296.1
0.6000           0.0771       0.0377       0.0394   305.1
0.6500           0.0771       0.0395       0.0376   290.7
0.7000           0.0771       0.0370       0.0401   310.4
0.7500           0.0771       0.0385       0.0386   298.5
0.8000           0.0771       0.0398       0.0374   289.0
0.8500           0.0771       0.0381       0.0390   301.5
0.9000           0.0771       0.0372       0.0399   308.5
0.9500           0.0771       0.0391       0.0380   294.3
1.0000           0.0771       0.0388       0.0383   296.4
1.0500           0.0771       0.0388       0.0383   296.0
1.1000           0.0771       0.0387       0.0385   297.5
1.1500           0.0771       0.0366       0.0405   313.4
1.2000           0.0771       0.0373       0.0398   307.7
1.2500           0.0771       0.0401       0.0370   286.5
1.3000           0.0771       0.0395       0.0376   290.8
1.3500           0.0771       0.0372       0.0399   308.8
1.4000           0.0771       0.0373       0.0398   307.9
1.4500           0.0771       0.0392       0.0379   293.1
1.5000           0.0771       0.0388       0.0383   296.3
1.5500           0.0771       0.0361       0.0410   317.2
1.6000           0.0771       0.0397       0.0375   289.8
1.6500           0.0771       0.0387       0.0384   297.0
1.7000           0.0771       0.0364       0.0407   315.0
1.7500           0.0771       0.0388       0.0383   296.1
1.8000           0.0771       0.0385       0.0386   298.8
1.8500           0.0771       0.0387       0.0384   297.4
1.9000           0.0771       0.0392       0.0379   293.3
1.9500           0.0771       0.0399       0.0372   287.5
2.0000           0.0771       0.0347       0.0424   327.9
2.0500           0.0771       0.0378       0.0394   304.5
2.1000           0.0771       0.0394       0.0377   291.8
2.1500           0.0771       0.0392       0.0379   293.3
2.2000           0.0771       0.0372       0.0399   308.8
2.2500           0.0771       0.0389       0.0382   295.6
2.3000           0.0771       0.0390       0.0381   294.7
2.3500           0.0771       0.0385       0.0386   298.9
2.4000           0.0771       0.0380       0.0391   302.8
2.4500           0.0771       0.0393       0.0378   292.2
2.5000           0.0771       0.0381       0.0390   302.0
2.5500           0.0771       0.0396       0.0375   290.2
2.6000           0.0771       0.0389       0.0383   296.0
2.6500           0.0771       0.0355       0.0416   321.6
2.7000           0.0771       0.0390       0.0381   294.8
2.7500           0.0771       0.0384       0.0387   299.5
2.8000           0.0771       0.0394       0.0378   292.1
2.8500           0.0771       0.0374       0.0397   307.1
2.9000           0.0771       0.0401       0.0370   286.6
2.9500           0.0771       0.0368       0.0403   311.9
3.0000           0.0771       0.0404       0.0367   284.3
3.0500           0.0771       0.0391       0.0380   294.3
3.1000           0.0771       0.0374       0.0397   307.5
3.1500           0.0771       0.0361       0.0410   317.2
3.2000           0.0771       0.0399       0.0372   287.8
3.2500           0.0771       0.0385       0.0386   298.9
3.3000           0.0771       0.0380       0.0391   302.9
3.3500           0.0771       0.0382       0.0389   301.3
3.4000           0.0771       0.0382       0.0389   301.3
3.4500           0.0771       0.0398       0.0373   288.6
3.5000           0.0771       0.0394       0.0377   291.7
3.5500           0.0771       0.0367       0.0405   313.0
3.6000           0.0771       0.0379       0.0392   303.1
3.6500           0.0771       0.0380       0.0391   302.2
3.7000           0.0771       0.0389       0.0382   295.6
3.7500           0.0771       0.0402       0.0369   285.6
3.8000           0.0771       0.0381       0.0390   301.8
3.8500           0.0771       0.0380       0.0391   302.6
3.9000           0.0771       0.0385       0.0386   298.6
3.9500           0.0771       0.0382       0.0389   301.1
4.0000           0.0771       0.0402       0.0369   285.3
4.0500           0.0771       0.0385       0.0386   298.5
4.1000           0.0771       0.0386       0.0385   298.2
4.1500           0.0771       0.0380       0.0391   302.6
4.2000           0.0771       0.0375       0.0396   306.1
4.2500           0.0771       0.0384       0.0388   299.8
4.3000           0.0771       0.0389       0.0382   295.5
4.3500           0.0771       0.0384       0.0387   299.5
4.4000           0.0771       0.0385       0.0386   298.6
4.4500           0.0771       0.0389       0.0382   295.7
4.5000           0.0771       0.0384       0.0388   299.9
4.5500           0.0771       0.0400       0.0371   287.3
4.6000           0.0771       0.0393       0.0378   292.2
4.6500           0.0771       0.0382       0.0389   300.7
4.7000           0.0771       0.0371       0.0400   309.8
4.7500           0.0771       0.0390       0.0381   294.8
4.8000           0.0771       0.0390       0.0381   294.8
4.8500           0.0771       0.0391       0.0380   294.2
4.9000           0.0771       0.0390       0.0381   294.9
4.9500           0.0771       0.0378       0.0393   304.3
5.0000           0.0771       0.0372       0.0399   308.5
