Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.0822       0.0000       0.0822   636.1
0.0250           0.0813       0.0336       0.0477   369.1
0.0500           0.0823       0.0455       0.0368   284.5
0.0750           0.0823       0.0357       0.0465   360.1
0.1000           0.0821       0.0544       0.0277   214.5
0.1250           0.0828       0.0532       0.0296   228.9
0.1500           0.0829       0.0437       0.0392   303.4
0.1750           0.0835       0.0490       0.0346   267.4
0.2000           0.0841       0.0390       0.0450   348.5
0.2250           0.0832       0.0330       0.0502   388.2
0.2500           0.0830       0.0415       0.0414   320.6
0.2750           0.0830       0.0400       0.0430   332.9
0.3000           0.0836       0.0419       0.0417   322.7
0.3250           0.0842       0.0495       0.0348   268.9
0.3500           0.0844       0.0439       0.0405   313.5
0.3750           0.0853       0.0404       0.0449   347.3
0.4000           0.0851       0.0426       0.0425   329.2
0.4250           0.0853       0.0396       0.0456   353.1
0.4500           0.0853       0.0403       0.0451   348.8
0.4750           0.0843       0.0419       0.0424   328.3
0.5000           0.0843       0.0384       0.0459   355.2
0.5250           0.0848       0.0409       0.0438   339.2
0.5500           0.0856       0.0451       0.0405   313.4
0.5750           0.0854       0.0411       0.0443   343.1
0.6000           0.0856       0.0414       0.0442   342.1
0.6250           0.0857       0.0435       0.0422   326.4
0.6500           0.0856       0.0410       0.0446   345.1
0.6750           0.0858       0.0429       0.0429   331.9
0.7000           0.0859       0.0456       0.0402   311.3
0.7250           0.0861       0.0441       0.0420   325.1
0.7500           0.0873       0.0452       0.0421   325.7
0.7750           0.0873       0.0461       0.0412   318.8
0.8000           0.0874       0.0435       0.0439   339.9
0.8250           0.0879       0.0427       0.0452   349.9
0.8500           0.0883       0.0428       0.0454   351.4
0.8750           0.0879       0.0427       0.0452   350.0
0.9000           0.0876       0.0432       0.0444   343.6
0.9250           0.0876       0.0414       0.0462   357.1
0.9500           0.0879       0.0429       0.0450   347.9
0.9750           0.0887       0.0457       0.0430   332.4
1.0000           0.0894       0.0442       0.0452   349.7
1.0250           0.0896       0.0438       0.0458   354.4
1.0500           0.0897       0.0458       0.0439   339.8
1.0750           0.0897       0.0449       0.0448   346.8
1.1000           0.0905       0.0435       0.0470   363.5
1.1250           0.0910       0.0440       0.0470   363.5
1.1500           0.0911       0.0447       0.0463   358.5
1.1750           0.0914       0.0463       0.0451   348.7
1.2000           0.0915       0.0465       0.0451   348.6
1.2250           0.0918       0.0463       0.0455   351.8
1.2500           0.0914       0.0448       0.0466   360.4
1.2750           0.0912       0.0460       0.0452   349.6
1.3000           0.0910       0.0447       0.0463   358.2
1.3250           0.0905       0.0445       0.0460   355.7
1.3500           0.0909       0.0465       0.0445   344.0
1.3750           0.0906       0.0459       0.0448   346.5
1.4000           0.0909       0.0434       0.0475   367.8
1.4250           0.0907       0.0453       0.0454   351.0
1.4500           0.0911       0.0443       0.0468   362.1
1.4750           0.0909       0.0454       0.0455   352.1
1.5000           0.0905       0.0458       0.0448   346.4
1.5250           0.0909       0.0457       0.0452   350.0
1.5500           0.0908       0.0487       0.0421   325.8
1.5750           0.0911       0.0459       0.0452   350.0
1.6000           0.0913       0.0446       0.0467   361.5
1.6250           0.0915       0.0468       0.0447   345.8
1.6500           0.0921       0.0440       0.0481   371.9
1.6750           0.0920       0.0435       0.0485   375.1
1.7000           0.0915       0.0451       0.0464   359.0
1.7250           0.0914       0.0446       0.0468   362.0
1.7500           0.0915       0.0471       0.0444   343.7
1.7750           0.0909       0.0466       0.0443   342.6
1.8000           0.0912       0.0454       0.0458   354.1
1.8250           0.0906       0.0458       0.0448   346.5
1.8500           0.0900       0.0460       0.0440   340.0
1.8750           0.0904       0.0447       0.0457   353.4
1.9000           0.0903       0.0432       0.0471   364.6
1.9250           0.0906       0.0437       0.0469   362.9
1.9500           0.0906       0.0443       0.0463   358.2
1.9750           0.0912       0.0456       0.0456   352.5
2.0000           0.0920       0.0471       0.0449   347.6
2.0250           0.0923       0.0470       0.0453   350.1
2.0500           0.0931       0.0472       0.0459   354.8
2.0750           0.0926       0.0475       0.0451   348.8
2.1000           0.0928       0.0473       0.0455   351.7
2.1250           0.0926       0.0474       0.0452   349.8
2.1500           0.0930       0.0450       0.0480   371.3
2.1750           0.0932       0.0451       0.0482   372.6
2.2000           0.0933       0.0459       0.0474   367.0
2.2250           0.0937       0.0477       0.0460   356.3
2.2500           0.0942       0.0460       0.0483   373.4
2.2750           0.0941       0.0478       0.0463   357.9
2.3000           0.0945       0.0496       0.0449   347.7
2.3250           0.0954       0.0472       0.0481   372.5
2.3500           0.0952       0.0477       0.0475   367.4
2.3750           0.0960       0.0463       0.0496   383.8
2.4000           0.0954       0.0482       0.0471   364.7
2.4250           0.0959       0.0483       0.0475   367.8
2.4500           0.0966       0.0465       0.0501   387.6
2.4750           0.0963       0.0468       0.0494   382.4
2.5000           0.0965       0.0481       0.0484   374.6
2.5250           0.0961       0.0492       0.0469   363.0
2.5500           0.0964       0.0477       0.0487   377.1
2.5750           0.0958       0.0474       0.0483   373.9
2.6000           0.0957       0.0495       0.0462   357.3
2.6250           0.0968       0.0484       0.0484   374.6
2.6500           0.0968       0.0492       0.0476   368.5
2.6750           0.0971       0.0478       0.0493   381.3
2.7000           0.0970       0.0484       0.0486   375.9
2.7250           0.0967       0.0476       0.0491   380.0
2.7500           0.0973       0.0476       0.0498   385.0
2.7750           0.0969       0.0480       0.0488   377.7
2.8000           0.0966       0.0508       0.0458   354.4
2.8250           0.0971       0.0491       0.0480   371.1
2.8500           0.0970       0.0483       0.0487   376.6
2.8750           0.0970       0.0486       0.0484   374.5
2.9000           0.0974       0.0469       0.0506   391.4
2.9250           0.0976       0.0482       0.0494   382.2
2.9500           0.0977       0.0492       0.0485   375.2
2.9750           0.0972       0.0451       0.0522   403.5
3.0000           0.0973       0.0472       0.0501   387.4
3.0250           0.0967       0.0521       0.0446   345.2
3.0500           0.0978       0.0498       0.0480   371.0
3.0750           0.0978       0.0486       0.0492   380.8
3.1000           0.0978       0.0504       0.0475   367.5
3.1250           0.0980       0.0491       0.0489   378.1
3.1500           0.0977       0.0479       0.0498   385.0
3.1750           0.0968       0.0466       0.0502   388.1
3.2000           0.0974       0.0478       0.0496   383.9
3.2250           0.0974       0.0493       0.0481   372.0
3.2500           0.0979       0.0478       0.0501   387.9
3.2750           0.0978       0.0485       0.0492   380.8
3.3000           0.0971       0.0488       0.0483   373.4
3.3250           0.0973       0.0468       0.0505   391.1
3.3500           0.0973       0.0487       0.0486   376.1
3.3750           0.0976       0.0486       0.0490   379.1
3.4000           0.0978       0.0485       0.0493   381.4
3.4250           0.0981       0.0492       0.0489   378.0
3.4500           0.0991       0.0498       0.0493   381.6
3.4750           0.0987       0.0527       0.0459   355.4
3.5000           0.0989       0.0506       0.0483   373.7
3.5250           0.0990       0.0491       0.0498   385.6
3.5500           0.0986       0.0514       0.0472   365.1
3.5750           0.0990       0.0491       0.0499   386.4
3.6000           0.0995       0.0464       0.0531   410.5
3.6250           0.1002       0.0493       0.0509   394.0
3.6500           0.0999       0.0484       0.0515   398.4
3.6750           0.0996       0.0495       0.0501   387.6
3.7000           0.1002       0.0499       0.0502   388.6
3.7250           0.1008       0.0518       0.0490   378.8
3.7500           0.1005       0.0505       0.0500   386.9
3.7750           0.1010       0.0483       0.0527   407.5
3.8000           0.1009       0.0484       0.0525   406.0
3.8250           0.1003       0.0476       0.0527   408.0
3.8500           0.1009       0.0500       0.0509   393.4
3.8750           0.1008       0.0509       0.0499   386.3
3.9000           0.1001       0.0509       0.0492   381.0
3.9250           0.1011       0.0531       0.0481   372.0
3.9500           0.1017       0.0536       0.0481   371.9
3.9750           0.1016       0.0511       0.0505   390.8
4.0000           0.1011       0.0507       0.0504   390.1
4.0250           0.1013       0.0508       0.0506   391.3
4.0500           0.1014       0.0510       0.0504   389.8
4.0750           0.1015       0.0499       0.0516   399.0
4.1000           0.1015       0.0493       0.0522   403.8
4.1250           0.1019       0.0515       0.0504   390.0
4.1500           0.1013       0.0509       0.0504   390.0
4.1750           0.1013       0.0493       0.0520   402.6
4.2000           0.1009       0.0487       0.0521   403.4
4.2250           0.1005       0.0496       0.0509   393.8
4.2500           0.1009       0.0501       0.0508   393.3
4.2750           0.1009       0.0494       0.0515   398.3
4.3000           0.1009       0.0478       0.0531   410.4
4.3250           0.1003       0.0494       0.0509   393.8
4.3500           0.1004       0.0520       0.0484   374.6
4.3750           0.1014       0.0511       0.0503   389.2
4.4000           0.1015       0.0505       0.0510   394.2
4.4250           0.1014       0.0518       0.0496   383.7
4.4500           0.1019       0.0534       0.0485   375.2
4.4750           0.1025       0.0511       0.0514   397.6
4.5000           0.1027       0.0528       0.0499   385.7
4.5250           0.1033       0.0518       0.0516   399.1
4.5500           0.1036       0.0492       0.0544   420.6
4.5750           0.1034       0.0523       0.0510   394.9
4.6000           0.1026       0.0505       0.0521   403.4
4.6250           0.1028       0.0503       0.0525   406.0
4.6500           0.1030       0.0521       0.0510   394.3
4.6750           0.1027       0.0502       0.0525   406.0
4.7000           0.1024       0.0516       0.0508   393.1
4.7250           0.1025       0.0538       0.0487   376.7
4.7500           0.1025       0.0490       0.0535   414.0
4.7750           0.1022       0.0491       0.0531   410.8
4.8000           0.1026       0.0534       0.0492   380.4
4.8250           0.1018       0.0516       0.0501   387.9
4.8500           0.1018       0.0480       0.0538   416.6
4.8750           0.1014       0.0512       0.0501   387.8
4.9000           0.1008       0.0511       0.0497   384.5
4.9250           0.1001       0.0481       0.0520   402.3
4.9500           0.0996       0.0483       0.0512   396.5
4.9750           0.0993       0.0503       0.0489   378.7
5.0000           0.0989       0.0499       0.0490   379.1
5.0250           0.0994       0.0489       0.0505   390.9
5.0500           0.1001       0.0506       0.0494   382.5
5.0750           0.1001       0.0520       0.0481   372.3
5.1000           0.1001       0.0501       0.0500   386.5
5.1250           0.1003       0.0496       0.0507   392.1
5.1500           0.0999       0.0497       0.0502   388.0
5.1750           0.0992       0.0495       0.0498   385.0
5.2000           0.0997       0.0514       0.0483   373.5
5.2250           0.0990       0.0511       0.0479   370.4
5.2500           0.0991       0.0476       0.0515   398.7
5.2750           0.0993       0.0489       0.0504   389.7
5.3000           0.0992       0.0501       0.0491   379.6
5.3250           0.0991       0.0469       0.0522   403.9
5.3500           0.0993       0.0491       0.0501   387.8
5.3750           0.0988       0.0523       0.0465   359.9
5.4000           0.0980       0.0477       0.0503   389.5
5.4250           0.0978       0.0474       0.0504   389.6
5.4500           0.0980       0.0498       0.0481   372.3
5.4750           0.0986       0.0486       0.0500   387.1
5.5000           0.0991       0.0490       0.0501   387.4
5.5250           0.0991       0.0480       0.0512   395.7
5.5500           0.0988       0.0470       0.0518   400.5
5.5750           0.0984       0.0494       0.0489   378.6
5.6000           0.0991       0.0500       0.0491   380.0
5.6250           0.0989       0.0513       0.0476   368.5
5.6500           0.0995       0.0504       0.0490   379.4
5.6750           0.0998       0.0507       0.0491   380.2
