INFO mlfcs.phonon.scph.solver: SCPH iteration 34: delta_omega=4.877307e-06 THz, frequency_min=-1.222115e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 35: delta_omega=1.534519e-06 THz, frequency_min=-1.208283e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 36: delta_omega=2.579564e-06 THz, frequency_min=-1.300779e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 37: delta_omega=1.539155e-06 THz, frequency_min=-1.258659e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 38: delta_omega=1.819807e-06 THz, frequency_min=-1.172011e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 39: delta_omega=1.456477e-06 THz, frequency_min=-1.189869e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 40: delta_omega=6.387726e-07 THz, frequency_min=-1.159393e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 41: delta_omega=2.962828e-06 THz, frequency_min=-1.159086e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 42: delta_omega=4.140171e-06 THz, frequency_min=-1.308309e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 43: delta_omega=1.333400e-06 THz, frequency_min=-1.365015e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 44: delta_omega=2.882824e-06 THz, frequency_min=-1.244071e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 45: delta_omega=4.931942e-06 THz, frequency_min=-1.363917e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 46: delta_omega=2.163674e-06 THz, frequency_min=-1.296548e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 47: delta_omega=2.132241e-06 THz, frequency_min=-1.234363e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 48: delta_omega=2.947781e-06 THz, frequency_min=-1.211542e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 49: delta_omega=6.206144e-06 THz, frequency_min=-1.442451e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 50: delta_omega=2.517464e-06 THz, frequency_min=-1.313730e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 51: delta_omega=1.311610e-06 THz, frequency_min=-1.273221e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 52: delta_omega=2.858168e-06 THz, frequency_min=-1.220488e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 53: delta_omega=5.665594e-06 THz, frequency_min=-1.099918e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 54: delta_omega=4.517442e-06 THz, frequency_min=-1.233140e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 55: delta_omega=2.902001e-06 THz, frequency_min=-1.246069e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
INFO mlfcs.phonon.scph.solver: SCPH iteration 56: delta_omega=5.574309e-06 THz, frequency_min=-1.355351e-04 THz, frequency_max=8.309859e+00 THz, correction_norm=1.355180e+00
