Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1518       0.0781       0.0736   569.8
0.0500           0.1518       0.0715       0.0802   620.7
0.1000           0.1518       0.0780       0.0738   570.7
0.1500           0.1518       0.0779       0.0739   571.4
0.2000           0.1518       0.0757       0.0760   588.1
0.2500           0.1518       0.0751       0.0767   593.3
0.3000           0.1518       0.0739       0.0778   602.0
0.3500           0.1518       0.0769       0.0748   578.7
0.4000           0.1518       0.0781       0.0737   570.1
0.4500           0.1518       0.0747       0.0770   596.0
0.5000           0.1518       0.0757       0.0761   588.4
0.5500           0.1518       0.0789       0.0728   563.5
0.6000           0.1518       0.0767       0.0751   580.6
0.6500           0.1518       0.0751       0.0766   592.9
0.7000           0.1518       0.0748       0.0770   595.4
0.7500           0.1518       0.0742       0.0776   600.0
0.8000           0.1518       0.0780       0.0737   570.3
0.8500           0.1518       0.0787       0.0731   565.4
0.9000           0.1518       0.0789       0.0728   563.5
0.9500           0.1518       0.0733       0.0784   606.7
1.0000           0.1518       0.0769       0.0749   579.5
1.0500           0.1518       0.0759       0.0758   586.7
1.1000           0.1518       0.0749       0.0769   594.7
1.1500           0.1518       0.0745       0.0773   597.7
1.2000           0.1518       0.0771       0.0747   577.8
1.2500           0.1518       0.0761       0.0757   585.4
1.3000           0.1518       0.0792       0.0726   561.4
1.3500           0.1518       0.0737       0.0781   604.0
1.4000           0.1518       0.0776       0.0742   573.7
1.4500           0.1518       0.0789       0.0729   564.0
1.5000           0.1518       0.0725       0.0792   612.9
1.5500           0.1518       0.0771       0.0746   577.3
1.6000           0.1518       0.0741       0.0777   600.9
1.6500           0.1518       0.0745       0.0772   597.5
1.7000           0.1518       0.0787       0.0731   565.3
1.7500           0.1518       0.0775       0.0742   574.2
1.8000           0.1518       0.0734       0.0783   605.9
1.8500           0.1518       0.0800       0.0717   555.1
1.9000           0.1518       0.0763       0.0754   583.6
1.9500           0.1518       0.0755       0.0762   589.8
2.0000           0.1518       0.0767       0.0750   580.3
2.0500           0.1518       0.0725       0.0793   613.5
2.1000           0.1518       0.0751       0.0766   592.7
2.1500           0.1518       0.0846       0.0672   519.5
2.2000           0.1518       0.0770       0.0747   578.0
2.2500           0.1518       0.0741       0.0777   601.1
2.3000           0.1518       0.0741       0.0776   600.5
2.3500           0.1518       0.0784       0.0733   567.3
2.4000           0.1518       0.0768       0.0749   579.8
2.4500           0.1518       0.0715       0.0802   620.5
2.5000           0.1518       0.0790       0.0728   562.9
2.5500           0.1518       0.0772       0.0746   577.0
2.6000           0.1518       0.0773       0.0745   576.1
2.6500           0.1518       0.0751       0.0766   592.7
2.7000           0.1518       0.0778       0.0740   572.1
2.7500           0.1518       0.0753       0.0765   591.8
2.8000           0.1518       0.0763       0.0754   583.5
2.8500           0.1518       0.0800       0.0718   555.2
2.9000           0.1517       0.0700       0.0818   632.6
2.9500           0.1518       0.0740       0.0778   601.7
3.0000           0.1518       0.0761       0.0757   585.5
3.0500           0.1518       0.0767       0.0750   580.5
3.1000           0.1518       0.0806       0.0712   550.8
3.1500           0.1518       0.0756       0.0762   589.5
3.2000           0.1518       0.0743       0.0775   599.3
3.2500           0.1518       0.0774       0.0744   575.5
3.3000           0.1518       0.0762       0.0755   584.3
3.3500           0.1518       0.0756       0.0761   589.0
3.4000           0.1518       0.0758       0.0760   587.9
3.4500           0.1518       0.0800       0.0718   555.4
3.5000           0.1518       0.0776       0.0741   573.6
3.5500           0.1518       0.0734       0.0783   605.9
3.6000           0.1518       0.0739       0.0779   602.6
3.6500           0.1518       0.0784       0.0734   567.6
3.7000           0.1518       0.0742       0.0776   600.3
3.7500           0.1518       0.0749       0.0769   594.8
